Year,Month,#,CODE,Authors,Conference,Location,Invited,Organization,Pages,Title,Volume,Eval
2018,12,D,C18D,"Tuholske, C., Caylor, K.K.",American Geophysical Union Fall Meeting,,,,,Fusing Remote Sensing and Demography to Assess which Sub-Saharan African Cities Are Growing the Fastest,,0
2018,12,E,C18E,"Ryan Barry Avery, Kelly K Caylor, Lyndon D Estes, Ronald Eastman, Su Ye, Lei Song, Kaixi Zhang, Sitian Xiong, Dennis McRitchie and Tammy Woodard",American Geophysical Union Fall Meeting,,,,,A Convolutional Neural Network Approach to Segmenting Smallholder Agriculture,,0
2017,4,R,C17R,K.K. Caylor,Association for the Sciences of Limnology and Oceanography,"Honolulu, HI",1,,,"Dryland feedbacks between biogeochemistry, plants, and surface hydrological dynamics",,1
2018,8,C,C18C,K.K. Caylor,Ecological Society of America,,1,,,Multi-scale dynamics of vegetation responses to changing rainfall variability in dryland regions,,1
2018,12,F,C18F,"Michael Cecil, Katherine Baylis, Jordan Blekking, Kelly K Caylor, Tom P Evans, Megan Konar, Justin Sheffield, Noemi Vergopolan, Kurt Waldman, Yi Zhao, and Lyndon D Estes",American Geophysical Union Fall Meeting,,,,,Quantifying the Effect of Farmer Management Decisions on Maize Yield in Zambia,,0
2018,12,G,C18G,"Lyndon D Estes, Stephanie R Debats, Dennis McRitchie, Ronald Eastman, Lei Song, Tammy Woodard, Sitian Xiong, Su Ye, Kaixi Zhang, Ryan Barry Avery, and Kelly K Caylor",American Geophysical Union Fall Meeting,,,,,Using active learning to quantify how training data errors impact classification accuracy over smallholder-dominated agricultural systems,,0
2018,12,H,C18H,"Kelly K Caylor, Elizabeth Forbes, Grace Lewin, Mark Hirsh",American Geophysical Union Fall Meeting,,,,,Reimagining high-resolution ecosystem monitoring with low-cost autonomous sensing,,0
2018,12,I,C18I,"Marc Mayes, Kelly Caylor",American Geophysical Union Fall Meeting,,,,,"Seasonal and diurnal drone and ground-based thermal, multispectral and hyperspectral imaging to quantify responses of California oak woodland productivity and evapotranspiration to extreme climate conditions",,0
2018,4,A,C18A,"Tuholske, C., Andam, K., Blekking, J., Caylor, K., Evans, T.",American Association of Geographers Annual Meeting ,"New Orleans, LA",,,,Towards assessing urban food security and nutrition in West Africa,,1
2018,4,B,C18B,"Estes, L., Caylor, K.K., Debats, S., Eastman, R., Thompson, D.R. ",Association of American Geographers Annual Meeting,"New Orleans, LA",,,,Integrating humans and machines to map smallholder-dominated agricultural frontiers,,1
2018,4,C,C18C,"Manfreda, S., Ben Dor, E., Caylor, K.K., Ciraolo, G., De Lima, I., De Lima, J.L.M., Estes, L., Frances, F., Helman, D., Kohv, M., Lucas, R., Madrigal, V.P., Mallinis, G., Maltese, A., McCabe, M., Miller, P., Perks, M., Ruiz-Perez, G., Tauro, F., Toth, B.","European Geosciences Union, General Assembly 
","Vienna, Austria",,,,On the use of unmanned aerial systems for environmental monitoring,,1
2017,12,A,C17A,"Gerlein-Safdi, C and Koohafkan, M and Chung, M and Rockwell, FE and Thompson, SE and Caylor, K.K.",American Geophysical Union Fall Meeting,,,,,Effects of dew deposition on transpiration and carbon uptake in leaves,,1
2017,12,B,C17B,"Gower, D and Zeng, Z and Caylor, K.K. and Wood, EF",American Geophysical Union Fall Meeting,,,,,Simulating the impact of water storage on agricultural intensification and deforestation in Northern Thailand,,1
2017,12,C,C17C,"Ribeiro, F and Roberts, DA and Hess, LL and Davis, FW and Caylor, K.K. and Nackoney, J and Antunes Daldegan, G",American Geophysical Union Fall Meeting,,,,,High spatial resolution mapping of land cover types in a priority area for conservation in the Brazilian savanna,,1
